player_id,player_name,position,age,total_games,seasons,ppg,projected_fpts,replacement_pts,par,auction_value,adp_rank,years_of_experience_x,years_of_experience_y,headshot_url,latest_team,ds_proj,consensus_proj,injury_risk,sos,ds_auction_value,Team,Bye,fpts_2025
00-0038507,Grant DuBose,WR,,2.0,1.0,1.55,97.29053477415599,109.28942998067417,0.0,1.0,,,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ytrkyhuvudbeuc90zuok",MIA,,,,,,,,
00-0031428,Allen Robinson,WR,,21.0,2.0,2.843137254901961,66.73121888763998,109.28942998067417,0.0,1.0,,,11.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyukft9lraurbsq0laom",DET,,,,,,,,
00-0031484,Chris Manhertz,TE,,10.0,3.0,1.8031249999999999,53.18979487564509,120.68874601123403,0.0,1.0,,,11.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azx76rspzgxfogsqhxet",NYG,,,,,,,,1.7000000000000002
00-0031503,Jameis Winston,QB,,20.0,3.0,13.712595419847329,231.20509220512656,338.3693359437138,0.0,1.0,,,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vwikoroqsyf8iemlrohb",NYG,,,,,,,,52.949999999999996
00-0031547,DeVante Parker,WR,,13.0,1.0,5.56923076923077,102.42882608293142,109.28942998067417,0.0,1.0,,,9.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/beuyfjou6kckaoqqpa96",NE,,,,,,,,
00-0038547,Luke Schoonmaker,TE,,35.0,3.0,3.061811023622048,57.50378178643559,120.68874601123403,0.0,1.0,427.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjaidpltef1ctqwrk5o5",DAL,21.0,13.0,0%,0%,1.0,DAL,10.0,27.200000000000003
00-0038550,Hendon Hooker,QB,,3.0,1.0,1.1000000000000003,169.77819445413206,338.3693359437138,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bdky2q0tndjhtrgo2fgt",TEN,,,,,,,,
00-0038551,Kendre Miller,RB,,20.0,3.0,5.070714285714287,95.48923551274152,109.10619302376719,0.0,1.0,243.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jz3mpvifmldus3ipdvu1",NO,41.0,17.0,0%,0%,1.0,NO,11.0,33.3
00-0038555,Tank Bigsby,RB,,39.0,3.0,5.768539325842697,101.57866617548113,109.10619302376719,0.0,1.0,217.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nin8aexyipca7g7u7f4a",PHI,45.0,54.0,0%,0%,1.0,PHI,9.0,53.800000000000004
00-0038558,Darnell Washington,TE,,34.0,3.0,4.2743083003952576,74.31988703309692,120.68874601123403,0.0,1.0,275.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nza9bxmg2tdtg7wldjct",PIT,61.0,50.0,0%,0%,1.0,PIT,5.0,71.4
00-0031549,Nelson Agholor,WR,,29.0,2.0,4.723225806451613,87.80420730600554,109.28942998067417,0.0,1.0,,,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wyxfkarcjgqdz3pl8nnr",BAL,,,,,,,,
00-0031585,MyCole Pruitt,TE,,15.0,2.0,2.7692307692307696,59.00169147458513,120.68874601123403,0.0,1.0,,,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jazo8egu5luwyxxcpjh8",PIT,,,,,,,,
