scoring_format,Rank,Player,Team,position,POS,PlayerTeam (Bye),Bye,ds_auction_value,market_auction_value,ds_adp,ds_proj,consensus_proj,floor_proj,ceiling_proj,injury_risk,sos
ppr,91,Jaylen Warren,PIT,RB,RB31,Jaylen Warren PIT(9),9,10.0,3.0,7.09,151,139.0,128.0,195.8,0%,-2.1%
ppr,92,Bo Nix,DEN,QB,QB13,Bo Nix DEN(10),10,10.0,8.0,9.02,312,294.0,280.9,405.7,0%,-3.7%
ppr,93,Kyler Murray,MIN,QB,QB14,Kyler Murray MIN(6),6,10.0,7.0,11.03,309,293.0,271.7,416.7,0%,4%
ppr,94,Patrick Mahomes,KC,QB,QB15,Patrick Mahomes KC(5),5,10.0,7.0,8.05,307,292.0,273.5,418.0,0%,-3.2%
ppr,95,Rico Dowdle,PIT,RB,RB32,Rico Dowdle PIT(9),9,10.0,5.0,8.01,138,139.0,122.6,218.9,0%,-2.1%
ppr,96,Quentin Johnston,LAC,WR,WR41,Quentin Johnston LAC(7),7,10.0,7.0,12.06,121,107.0,98.3,171.1,0%,-2.6%
ppr,97,Jordan Mason,MIN,RB,RB33,Jordan Mason MIN(6),6,10.0,6.0,11.02,135,111.0,115.0,224.6,0%,-0.1%
ppr,98,Jakobi Meyers,JAC,WR,WR42,Jakobi Meyers JAC(7),7,10.0,5.0,10.02,123,107.0,108.2,156.1,0%,4%
ppr,99,Blake Corum,LAR,RB,RB34,Blake Corum LAR(11),11,9.0,6.0,7.1,123,121.0,116.4,239.0,0%,6.4%
ppr,100,Kyle Pitts,ATL,TE,TE9,Kyle Pitts ATL(11),11,9.0,7.0,7.12,105,103.0,99.7,141.7,0%,4.8%
ppr,101,Romeo Doubs,NE,WR,WR43,Romeo Doubs NE(11),11,9.0,6.0,11.12,122,115.0,100.9,160.4,0%,-2.5%
ppr,102,Kyle Monangai,CHI,RB,RB35,Kyle Monangai CHI(10),10,9.0,4.0,7.01,129,130.0,117.2,221.5,0%,-3.6%
ppr,103,Mark Andrews,BAL,TE,TE10,Mark Andrews BAL(13),13,9.0,16.0,8.08,105,97.0,97.0,140.2,0%,3.6%
ppr,104,Xavier Worthy,KC,WR,WR44,Xavier Worthy KC(5),5,9.0,5.0,9.05,115,102.0,96.4,175.6,0%,-2.6%
ppr,105,Matthew Stafford,LAR,QB,QB16,Matthew Stafford LAR(11),11,9.0,6.0,12.03,302,286.0,280.6,407.3,0%,-0%
ppr,106,Jared Goff,DET,QB,QB17,Jared Goff DET(6),6,9.0,5.0,10.12,303,285.0,279.0,400.4,0%,-0.9%
ppr,107,Michael Pittman Jr.,PIT,WR,WR45,Michael Pittman Jr. PIT(9),9,8.0,5.0,9.07,120,105.0,104.7,150.5,0%,-2.6%
ppr,108,Travis Kelce,KC,TE,TE11,Travis Kelce KC(5),5,8.0,5.0,8.06,108,99.0,92.6,129.3,0%,1.9%
ppr,109,Makai Lemon,PHI,WR,WR46,Makai Lemon PHI(10),10,8.0,6.0,5.11,110,94.0,93.8,172.1,0%,6.6%
ppr,110,Tyler Shough,NO,QB,QB18,Tyler Shough NO(8),8,8.0,5.0,13.1,298,268.0,274.1,402.3,0%,0.5%
ppr,111,Michael Wilson,ARI,WR,WR47,Michael Wilson ARI(14),14,8.0,6.0,11.09,113,103.0,93.0,165.5,0%,-0.8%
ppr,112,Jacory Croskey-Merritt,WAS,RB,RB36,Jacory Croskey-Merritt WAS(7),7,8.0,7.0,10.09,110,114.0,94.8,237.0,0%,4.2%
ppr,113,RJ Harvey,DEN,RB,RB37,RJ Harvey DEN(10),10,7.0,2.0,5.02,122,118.0,104.8,203.6,0%,0.1%
ppr,114,KC Concepcion,CLE,WR,WR48,KC Concepcion CLE(11),11,7.0,7.0,12.07,113,90.0,94.0,164.2,0%,4.3%
ppr,115,Jayden Higgins,HOU,WR,WR49,Jayden Higgins HOU(8),8,7.0,5.0,13.01,109,98.0,94.2,169.7,0%,4.4%
ppr,116,Dalton Kincaid,BUF,TE,TE12,Dalton Kincaid BUF(7),7,7.0,7.0,8.11,100,100.0,93.4,135.6,0%,-1.4%
ppr,117,Jonathon Brooks,CAR,RB,RB38,Jonathon Brooks CAR(5),5,7.0,4.0,13.05,107,69.0,90.6,238.8,0%,-6%
ppr,118,Brandon Aiyuk,UNS,WR,WR50,Brandon Aiyuk UNS(18),18,7.0,8.0,16.07,113,96.0,85.7,167.9,0%,-
ppr,119,Chris Rodriguez,JAC,RB,RB39,Chris Rodriguez JAC(7),7,7.0,6.0,12.11,104,97.0,91.6,242.4,0%,0.9%
ppr,120,Brandon Aubrey,DAL,K,K1,Brandon Aubrey DAL(14),14,7.0,5.0,27.06,177,173.0,157.4,190.9,0%,-3.5%
ppr,121,Baker Mayfield,TB,QB,QB19,Baker Mayfield TB(10),10,7.0,5.0,10.08,290,275.0,278.1,402.6,0%,-0.8%
ppr,122,Rachaad White,WAS,RB,RB40,Rachaad White WAS(7),7,6.0,2.0,14.02,119,110.0,87.8,198.2,0%,4.2%
ppr,123,Matthew Golden,GB,WR,WR51,Matthew Golden GB(11),11,6.0,8.0,11.05,103,96.0,89.5,173.8,0%,1.3%
ppr,124,Jordan Love,GB,QB,QB20,Jordan Love GB(11),11,6.0,3.0,13.12,287,273.0,275.9,399.4,0%,-0.3%
ppr,125,Isiah Pacheco,DET,RB,RB41,Isiah Pacheco DET(6),6,6.0,3.0,10.01,104,79.0,92.7,213.6,0%,0.9%
ppr,126,Aaron Jones,MIN,RB,RB42,Aaron Jones MIN(6),6,6.0,3.0,9.09,116,120.0,90.3,186.3,0%,-0.1%
ppr,127,Chris Godwin,TB,WR,WR52,Chris Godwin TB(10),10,6.0,2.0,9.01,109,108.0,92.8,155.0,0%,2.6%
ppr,128,Stefon Diggs,UNS,WR,WR53,Stefon Diggs UNS(18),18,6.0,5.0,11.08,113,108.0,81.4,152.6,0%,-
ppr,129,Hunter Henry,NE,TE,TE13,Hunter Henry NE(11),11,6.0,24.0,8.12,99,93.0,90.7,125.2,0%,-3.5%
ppr,130,Kenneth Gainwell,TB,RB,RB43,Kenneth Gainwell TB(10),10,5.0,2.0,12.04,113,103.0,98.4,179.7,0%,-2.2%
ppr,131,Deebo Samuel,UNS,WR,WR54,Deebo Samuel UNS(18),18,5.0,13.0,14.09,108,93.0,86.4,156.5,0%,-
ppr,132,Cameron Dicker,LAC,K,K2,Cameron Dicker LAC(7),7,5.0,4.0,17.1,170,161.0,151.2,181.8,0%,-3.1%
ppr,133,Jalen McMillan,TB,WR,WR55,Jalen McMillan TB(10),10,5.0,15.0,16.04,101,78.0,85.5,171.1,0%,2.6%
ppr,134,Dallas Goedert,PHI,TE,TE14,Dallas Goedert PHI(10),10,5.0,7.0,10.07,97,95.0,89.0,125.7,0%,7.1%
ppr,135,Calvin Ridley,TEN,WR,WR56,Calvin Ridley TEN(9),9,5.0,5.0,16.06,103,78.0,88.9,161.2,0%,5%
ppr,136,Zach Charbonnet,SEA,RB,RB44,Zach Charbonnet SEA(11),11,5.0,2.0,9.12,98,76.0,41.5,121.8,0%,5.6%
ppr,137,Woody Marks,HOU,RB,RB45,Woody Marks HOU(8),8,5.0,2.0,12.1,103,84.0,93.4,191.0,0%,2%
ppr,138,Josh Downs,IND,WR,WR57,Josh Downs IND(13),13,5.0,2.0,11.04,104,92.0,90.5,154.0,0%,-0.8%
ppr,139,Rashid Shaheed,SEA,WR,WR58,Rashid Shaheed SEA(11),11,4.0,12.0,13.11,98,90.0,88.3,164.8,0%,-0.1%
ppr,140,Isaiah Likely,NYG,TE,TE15,Isaiah Likely NYG(8),8,4.0,12.0,9.03,93,87.0,88.4,125.6,0%,3.2%
ppr,141,C.J. Stroud,HOU,QB,QB21,C.J. Stroud HOU(8),8,4.0,2.0,14.12,281,260.0,269.3,387.2,0%,4.4%
ppr,142,Tyjae Spears,TEN,RB,RB46,Tyjae Spears TEN(9),9,4.0,1.0,14.07,105,88.0,91.1,165.5,0%,2.9%
ppr,143,Tyrone Tracy Jr.,NYG,RB,RB47,Tyrone Tracy Jr. NYG(8),8,4.0,2.0,10.06,89,79.0,80.8,204.2,0%,2.2%
ppr,144,Brenton Strange,JAC,TE,TE16,Brenton Strange JAC(7),7,4.0,12.0,12.01,94,89.0,85.9,118.9,0%,2.5%
ppr,145,Kenyon Sadiq,NYJ,TE,TE17,Kenyon Sadiq NYJ(13),13,4.0,4.0,11.1,89,79.0,83.6,130.8,0%,-1.5%
ppr,146,Daniel Jones,IND,QB,QB22,Daniel Jones IND(13),13,3.0,2.0,16.02,276,257.0,259.5,394.8,0%,1.6%
ppr,147,Ka'imi Fairbairn,HOU,K,K3,Ka'imi Fairbairn HOU(8),8,3.0,2.0,22.11,160,168.0,148.6,177.4,0%,0.6%
ppr,148,Omar Cooper Jr.,NYJ,WR,WR59,Omar Cooper Jr. NYJ(13),13,3.0,9.0,15.06,93,81.0,85.3,167.0,0%,-1%
ppr,149,Wan'Dale Robinson,TEN,WR,WR60,Wan'Dale Robinson TEN(9),9,3.0,2.0,8.03,101,92.0,89.7,147.2,0%,5%
ppr,150,Jake Ferguson,DAL,TE,TE18,Jake Ferguson DAL(14),14,3.0,2.0,10.05,93,93.0,90.5,112.9,0%,-2.5%
ppr,151,Malik Willis,MIA,QB,QB23,Malik Willis MIA(6),6,3.0,2.0,14.08,268,254.0,262.5,404.5,0%,-2%
ppr,152,Denzel Boston,CLE,WR,WR61,Denzel Boston CLE(11),11,3.0,9.0,15.05,93,81.0,79.9,167.1,0%,4.3%
ppr,153,Cam Little,JAC,K,K4,Cam Little JAC(7),7,3.0,3.0,26.11,153,146.0,146.9,180.5,0%,-0.7%
ppr,154,Khalil Shakir,BUF,WR,WR62,Khalil Shakir BUF(7),7,2.0,1.0,11.06,100,92.0,88.4,140.7,0%,0.7%
ppr,155,Juwan Johnson,NO,TE,TE19,Juwan Johnson NO(8),8,2.0,4.0,12.02,91,85.0,83.7,115.5,0%,-0.1%
ppr,156,Brian Robinson Jr.,ATL,RB,RB48,Brian Robinson Jr. ATL(11),11,2.0,1.0,9.08,88,73.0,72.1,175.9,0%,-3.2%
ppr,157,Kaytron Allen,WAS,RB,RB49,Kaytron Allen WAS(7),7,2.0,2.0,15.08,73,42.0,66.8,210.7,0%,4.2%
ppr,158,Tyler Allgeier,ARI,RB,RB50,Tyler Allgeier ARI(14),14,2.0,2.0,10.04,88,71.0,72.4,174.0,0%,0.1%
ppr,159,Tyler Loop,BAL,K,K5,Tyler Loop BAL(13),13,2.0,1.0,32.04,153,148.0,143.6,178.8,0%,-1.6%
ppr,160,Dylan Sampson,CLE,RB,RB51,Dylan Sampson CLE(11),11,2.0,1.0,14.11,88,62.0,76.2,159.4,0%,0.6%
ppr,161,Alvin Kamara,NO,RB,RB52,Alvin Kamara NO(8),8,2.0,0.0,13.07,79,65.0,71.5,178.6,0%,1.8%
ppr,162,Tyreek Hill,UNS,WR,WR63,Tyreek Hill UNS(18),18,2.0,4.0,13.08,92,95.0,50.5,176.2,0%,-
ppr,163,Jalen Coker,CAR,WR,WR64,Jalen Coker CAR(5),5,2.0,4.0,12.12,92,90.0,82.8,153.6,0%,-1.3%
ppr,164,Jake Bates,DET,K,K6,Jake Bates DET(6),6,2.0,2.0,28.11,150,152.0,146.6,175.0,0%,4.2%
ppr,165,Cameron Ward,TEN,QB,QB24,Cameron Ward TEN(9),9,1.0,0.0,14.03,262,238.0,256.4,397.7,0%,6.3%
ppr,166,Cairo Santos,CHI,K,K7,Cairo Santos CHI(10),10,1.0,1.0,30.07,151,146.0,142.2,174.0,0%,-1.1%
ppr,167,Eddy Pineiro,SF,K,K8,Eddy Pineiro SF(8),8,1.0,1.0,26.03,151,147.0,143.7,172.5,0%,2%
ppr,168,Harrison Mevis,LAR,K,K9,Harrison Mevis LAR(11),11,1.0,1.0,30.08,150,153.0,145.1,175.0,0%,0.7%
ppr,169,Adonai Mitchell,NYJ,WR,WR65,Adonai Mitchell NYJ(13),13,1.0,1.0,18.11,85,57.0,78.6,166.6,0%,-1%
ppr,170,Keaton Mitchell,LAC,RB,RB53,Keaton Mitchell LAC(7),7,1.0,1.0,14.05,79,55.0,71.3,170.3,0%,0.6%
ppr,171,Trey Smack,GB,K,K10,Trey Smack GB(11),11,1.0,1.0,,150,,143.6,175.0,0%,0.6%
ppr,172,Oronde Gadsden II,LAC,TE,TE20,Oronde Gadsden II LAC(7),7,1.0,1.0,7.05,82,78.0,78.5,125.9,0%,-2.6%
ppr,173,Sam Darnold,SEA,QB,QB25,Sam Darnold SEA(11),11,1.0,0.0,14.06,261,255.0,258.1,391.1,0%,0.4%
ppr,174,Tre Tucker,LVR,WR,WR66,Tre Tucker LVR(13),13,1.0,1.0,19.06,90,76.0,78.2,152.7,0%,-5%
ppr,175,Jauan Jennings,MIN,WR,WR67,Jauan Jennings MIN(6),6,1.0,1.0,10.1,84,79.0,74.3,164.7,0%,4.9%
ppr,176,Wil Lutz,DEN,K,K11,Wil Lutz DEN(10),10,1.0,1.0,26.07,148,146.0,144.9,171.6,0%,-3.5%
ppr,177,Germie Bernard,PIT,WR,WR68,Germie Bernard PIT(9),9,1.0,1.0,17.04,86,62.0,75.7,156.6,0%,-2.6%
ppr,178,Aaron Rodgers,PIT,QB,QB26,Aaron Rodgers PIT(9),9,1.0,0.0,24.07,259,215.0,254.3,386.6,0%,-2.1%
ppr,179,Harrison Butker,KC,K,K12,Harrison Butker KC(5),5,1.0,1.0,23.06,148,145.0,144.8,170.0,0%,0.1%
ppr,180,Charlie Smyth,NO,K,K13,Charlie Smyth NO(8),8,1.0,1.0,,148,,143.5,170.1,0%,4.4%
ppr,181,Dalton Schultz,HOU,TE,TE21,Dalton Schultz HOU(8),8,1.0,1.0,12.05,86,76.0,79.3,106.0,0%,0.5%
ppr,182,Chigoziem Okonkwo,WAS,TE,TE22,Chigoziem Okonkwo WAS(7),7,1.0,1.0,13.04,81,67.0,78.5,117.3,0%,-3%
